binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0-1ubuntu1.debian.tar.xz	adwaita-icon-theme/41.0-1ubuntu1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0-1ubuntu1.debian.tar.xz
adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0-1ubuntu1.dsc	adwaita-icon-theme/41.0-1ubuntu1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0-1ubuntu1.dsc
adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme	41.0-1ubuntu1	adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0.orig.tar.xz	adwaita-icon-theme/41.0-1ubuntu1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/adwaita-icon-theme/41.0-1ubuntu1/adwaita-icon-theme_41.0.orig.tar.xz
apt	2.4.14	apt	2.4.14	apt/2.4.14/apt_2.4.14.dsc	apt/2.4.14	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.4.14/apt_2.4.14.dsc
apt	2.4.14	apt	2.4.14	apt/2.4.14/apt_2.4.14.tar.xz	apt/2.4.14	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.4.14/apt_2.4.14.tar.xz
base-files	12ubuntu4.7	base-files	12ubuntu4.7	base-files/12ubuntu4.7/base-files_12ubuntu4.7.dsc	base-files/12ubuntu4.7	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/base-files/12ubuntu4.7/base-files_12ubuntu4.7.dsc
base-files	12ubuntu4.7	base-files	12ubuntu4.7	base-files/12ubuntu4.7/base-files_12ubuntu4.7.tar.xz	base-files/12ubuntu4.7	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/base-files/12ubuntu4.7/base-files_12ubuntu4.7.tar.xz
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	binutils	2.38-4ubuntu2.12	binutils/2.38-4ubuntu2.12/binutils_2.38-4ubuntu2.12.debian.tar.xz	binutils/2.38-4ubuntu2.12	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/binutils/2.38-4ubuntu2.12/binutils_2.38-4ubuntu2.12.debian.tar.xz
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	binutils	2.38-4ubuntu2.12	binutils/2.38-4ubuntu2.12/binutils_2.38-4ubuntu2.12.dsc	binutils/2.38-4ubuntu2.12	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/binutils/2.38-4ubuntu2.12/binutils_2.38-4ubuntu2.12.dsc
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12	binutils	2.38-4ubuntu2.12	binutils/2.38-4ubuntu2.12/binutils_2.38.orig.tar.xz	binutils/2.38-4ubuntu2.12	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/binutils/2.38-4ubuntu2.12/binutils_2.38.orig.tar.xz
comerr-dev	2.1-1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2	e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5-2ubuntu1.2.debian.tar.xz	e2fsprogs/1.46.5-2ubuntu1.2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5-2ubuntu1.2.debian.tar.xz
comerr-dev	2.1-1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2	e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5-2ubuntu1.2.dsc	e2fsprogs/1.46.5-2ubuntu1.2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5-2ubuntu1.2.dsc
comerr-dev	2.1-1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2	e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5.orig.tar.gz	e2fsprogs/1.46.5-2ubuntu1.2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5.orig.tar.gz
comerr-dev	2.1-1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2	e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5.orig.tar.gz.asc	e2fsprogs/1.46.5-2ubuntu1.2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/e2fsprogs/1.46.5-2ubuntu1.2/e2fsprogs_1.46.5.orig.tar.gz.asc
firebird-dev	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2	firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4-1ubuntu2.debian.tar.xz	firebird3.0/3.0.8.33535.ds4-1ubuntu2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4-1ubuntu2.debian.tar.xz
firebird-dev	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2	firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4-1ubuntu2.dsc	firebird3.0/3.0.8.33535.ds4-1ubuntu2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4-1ubuntu2.dsc
firebird-dev	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2	firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4.orig.tar.xz	firebird3.0/3.0.8.33535.ds4-1ubuntu2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/firebird3.0/3.0.8.33535.ds4-1ubuntu2/firebird3.0_3.0.8.33535.ds4.orig.tar.xz
freetds-dev	1.3.6-1	freetds	1.3.6-1	freetds/1.3.6-1/freetds_1.3.6-1.diff.gz	freetds/1.3.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/freetds/1.3.6-1/freetds_1.3.6-1.diff.gz
freetds-dev	1.3.6-1	freetds	1.3.6-1	freetds/1.3.6-1/freetds_1.3.6-1.dsc	freetds/1.3.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/freetds/1.3.6-1/freetds_1.3.6-1.dsc
freetds-dev	1.3.6-1	freetds	1.3.6-1	freetds/1.3.6-1/freetds_1.3.6.orig.tar.gz	freetds/1.3.6-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/freetds/1.3.6-1/freetds_1.3.6.orig.tar.gz
gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.debian.tar.xz	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.debian.tar.xz
gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.dsc	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.dsc
gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0.orig.tar.gz	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0.orig.tar.gz
gettext	0.21-4ubuntu4	gettext	0.21-4ubuntu4	gettext/0.21-4ubuntu4/gettext_0.21-4ubuntu4.debian.tar.xz	gettext/0.21-4ubuntu4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gettext/0.21-4ubuntu4/gettext_0.21-4ubuntu4.debian.tar.xz
gettext	0.21-4ubuntu4	gettext	0.21-4ubuntu4	gettext/0.21-4ubuntu4/gettext_0.21-4ubuntu4.dsc	gettext/0.21-4ubuntu4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gettext/0.21-4ubuntu4/gettext_0.21-4ubuntu4.dsc
gettext	0.21-4ubuntu4	gettext	0.21-4ubuntu4	gettext/0.21-4ubuntu4/gettext_0.21.orig.tar.xz	gettext/0.21-4ubuntu4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gettext/0.21-4ubuntu4/gettext_0.21.orig.tar.xz
gettext	0.21-4ubuntu4	gettext	0.21-4ubuntu4	gettext/0.21-4ubuntu4/gettext_0.21.orig.tar.xz.asc	gettext/0.21-4ubuntu4	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gettext/0.21-4ubuntu4/gettext_0.21.orig.tar.xz.asc
krb5-multidev	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7	krb5/1.19.2-2ubuntu0.7/krb5_1.19.2-2ubuntu0.7.debian.tar.xz	krb5/1.19.2-2ubuntu0.7	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/krb5/1.19.2-2ubuntu0.7/krb5_1.19.2-2ubuntu0.7.debian.tar.xz
krb5-multidev	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7	krb5/1.19.2-2ubuntu0.7/krb5_1.19.2-2ubuntu0.7.dsc	krb5/1.19.2-2ubuntu0.7	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/krb5/1.19.2-2ubuntu0.7/krb5_1.19.2-2ubuntu0.7.dsc
krb5-multidev	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7	krb5/1.19.2-2ubuntu0.7/krb5_1.19.2.orig.tar.gz	krb5/1.19.2-2ubuntu0.7	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/krb5/1.19.2-2ubuntu0.7/krb5_1.19.2.orig.tar.gz
libacl1	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1-1.debian.tar.xz	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1-1.debian.tar.xz
libacl1	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1-1.dsc	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1-1.dsc
libacl1	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1.orig.tar.xz	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1.orig.tar.xz
libacl1	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1.orig.tar.xz.asc	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1.orig.tar.xz.asc
libacl1-dev	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1-1.debian.tar.xz	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1-1.debian.tar.xz
libacl1-dev	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1-1.dsc	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1-1.dsc
libacl1-dev	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1.orig.tar.xz	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1.orig.tar.xz
libacl1-dev	2.3.1-1	acl	2.3.1-1	acl/2.3.1-1/acl_2.3.1.orig.tar.xz.asc	acl/2.3.1-1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/acl/2.3.1-1/acl_2.3.1.orig.tar.xz.asc
libapparmor1	3.0.4-2ubuntu2.5	apparmor	3.0.4-2ubuntu2.5	apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4-2ubuntu2.5.debian.tar.xz	apparmor/3.0.4-2ubuntu2.5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4-2ubuntu2.5.debian.tar.xz
libapparmor1	3.0.4-2ubuntu2.5	apparmor	3.0.4-2ubuntu2.5	apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4-2ubuntu2.5.dsc	apparmor/3.0.4-2ubuntu2.5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4-2ubuntu2.5.dsc
libapparmor1	3.0.4-2ubuntu2.5	apparmor	3.0.4-2ubuntu2.5	apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4.orig.tar.gz	apparmor/3.0.4-2ubuntu2.5	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apparmor/3.0.4-2ubuntu2.5/apparmor_3.0.4.orig.tar.gz
libapt-pkg6.0	2.4.14	apt	2.4.14	apt/2.4.14/apt_2.4.14.dsc	apt/2.4.14	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.4.14/apt_2.4.14.dsc
libapt-pkg6.0	2.4.14	apt	2.4.14	apt/2.4.14/apt_2.4.14.tar.xz	apt/2.4.14	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/apt/2.4.14/apt_2.4.14.tar.xz
libarchive13	3.6.0-1ubuntu1.6	libarchive	3.6.0-1ubuntu1.6	libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0-1ubuntu1.6.debian.tar.xz	libarchive/3.6.0-1ubuntu1.6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0-1ubuntu1.6.debian.tar.xz
libarchive13	3.6.0-1ubuntu1.6	libarchive	3.6.0-1ubuntu1.6	libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0-1ubuntu1.6.dsc	libarchive/3.6.0-1ubuntu1.6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0-1ubuntu1.6.dsc
libarchive13	3.6.0-1ubuntu1.6	libarchive	3.6.0-1ubuntu1.6	libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0.orig.tar.xz	libarchive/3.6.0-1ubuntu1.6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0.orig.tar.xz
libarchive13	3.6.0-1ubuntu1.6	libarchive	3.6.0-1ubuntu1.6	libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0.orig.tar.xz.asc	libarchive/3.6.0-1ubuntu1.6	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libarchive/3.6.0-1ubuntu1.6/libarchive_3.6.0.orig.tar.xz.asc
libargon2-1	0~20171227-0.3	argon2	0~20171227-0.3	argon2/0~20171227-0.3/argon2_0~20171227-0.3.debian.tar.xz	argon2/0~20171227-0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/argon2/0~20171227-0.3/argon2_0~20171227-0.3.debian.tar.xz
libargon2-1	0~20171227-0.3	argon2	0~20171227-0.3	argon2/0~20171227-0.3/argon2_0~20171227-0.3.dsc	argon2/0~20171227-0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/argon2/0~20171227-0.3/argon2_0~20171227-0.3.dsc
libargon2-1	0~20171227-0.3	argon2	0~20171227-0.3	argon2/0~20171227-0.3/argon2_0~20171227.orig.tar.gz	argon2/0~20171227-0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/argon2/0~20171227-0.3/argon2_0~20171227.orig.tar.gz
libasan6	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.debian.tar.xz	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.debian.tar.xz
libasan6	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.dsc	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0-1ubuntu1~22.04.3.dsc
libasan6	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3	gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0.orig.tar.gz	gcc-11/11.4.0-1ubuntu1~22.04.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/gcc-11/11.4.0-1ubuntu1~22.04.3/gcc-11_11.4.0.orig.tar.gz
libasound2	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.debian.tar.xz	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.debian.tar.xz
libasound2	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.dsc	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.dsc
libasound2	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2
libasound2	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2.asc	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2.asc
libasound2-dev	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.debian.tar.xz	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.debian.tar.xz
libasound2-dev	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.dsc	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1-1ubuntu1.1.dsc
libasound2-dev	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2
libasound2-dev	1.2.6.1-1ubuntu1.1	alsa-lib	1.2.6.1-1ubuntu1.1	alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2.asc	alsa-lib/1.2.6.1-1ubuntu1.1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/alsa-lib/1.2.6.1-1ubuntu1.1/alsa-lib_1.2.6.1.orig.tar.bz2.asc
libassuan0	2.5.5-1build1	libassuan	2.5.5-1build1	libassuan/2.5.5-1build1/libassuan_2.5.5-1build1.debian.tar.xz	libassuan/2.5.5-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libassuan/2.5.5-1build1/libassuan_2.5.5-1build1.debian.tar.xz
libassuan0	2.5.5-1build1	libassuan	2.5.5-1build1	libassuan/2.5.5-1build1/libassuan_2.5.5-1build1.dsc	libassuan/2.5.5-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libassuan/2.5.5-1build1/libassuan_2.5.5-1build1.dsc
libassuan0	2.5.5-1build1	libassuan	2.5.5-1build1	libassuan/2.5.5-1build1/libassuan_2.5.5.orig.tar.bz2	libassuan/2.5.5-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libassuan/2.5.5-1build1/libassuan_2.5.5.orig.tar.bz2
libassuan0	2.5.5-1build1	libassuan	2.5.5-1build1	libassuan/2.5.5-1build1/libassuan_2.5.5.orig.tar.bz2.asc	libassuan/2.5.5-1build1	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libassuan/2.5.5-1build1/libassuan_2.5.5.orig.tar.bz2.asc
libasyncns0	0.8-6build2	libasyncns	0.8-6build2	libasyncns/0.8-6build2/libasyncns_0.8-6build2.debian.tar.xz	libasyncns/0.8-6build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libasyncns/0.8-6build2/libasyncns_0.8-6build2.debian.tar.xz
libasyncns0	0.8-6build2	libasyncns	0.8-6build2	libasyncns/0.8-6build2/libasyncns_0.8-6build2.dsc	libasyncns/0.8-6build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libasyncns/0.8-6build2/libasyncns_0.8-6build2.dsc
libasyncns0	0.8-6build2	libasyncns	0.8-6build2	libasyncns/0.8-6build2/libasyncns_0.8.orig.tar.gz	libasyncns/0.8-6build2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libasyncns/0.8-6build2/libasyncns_0.8.orig.tar.gz
libatk-bridge2.0-0	2.38.0-3	at-spi2-atk	2.38.0-3	at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.debian.tar.xz	at-spi2-atk/2.38.0-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.debian.tar.xz
libatk-bridge2.0-0	2.38.0-3	at-spi2-atk	2.38.0-3	at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.dsc	at-spi2-atk/2.38.0-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.dsc
libatk-bridge2.0-0	2.38.0-3	at-spi2-atk	2.38.0-3	at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0.orig.tar.xz	at-spi2-atk/2.38.0-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0.orig.tar.xz
libatk-bridge2.0-dev	2.38.0-3	at-spi2-atk	2.38.0-3	at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.debian.tar.xz	at-spi2-atk/2.38.0-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.debian.tar.xz
libatk-bridge2.0-dev	2.38.0-3	at-spi2-atk	2.38.0-3	at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.dsc	at-spi2-atk/2.38.0-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/at-spi2-atk/2.38.0-3/at-spi2-atk_2.38.0-3.dsc
